                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.61509,                0.44641,                 1.0164,                 0.8885,                0.94567,                0.95592,                0.75726,                 0.8656,                 0.5722,                 1.3375,             0.00089713,             0.00089713,             0.00089713
                     37,                0.63409,                0.45189,                 1.0453,                0.90744,                0.94343,                0.97178,                0.76428,                 0.8466,                0.48557,                 1.3076,             0.00089102,             0.00089102,             0.00089102
                     38,                0.61668,                0.40916,                0.99738,                0.88767,                0.93801,                0.97218,                0.79546,                0.78789,                0.50193,                 1.2658,             0.00088491,             0.00088491,             0.00088491
                     39,                0.59353,                0.42442,                 1.0085,                0.94755,                0.93461,                0.99223,                0.79843,                0.77476,                0.44893,                 1.2167,              0.0008788,              0.0008788,              0.0008788
                     40,                 0.6298,                0.44499,                 1.0262,                0.88347,                0.90015,                0.94859,                0.73725,                0.84701,                0.56235,                 1.2847,             0.00087269,             0.00087269,             0.00087269
                     41,                0.61447,                0.41042,                 1.0333,                 0.9719,                0.94101,                0.98617,                0.78885,                 0.8241,                0.44599,                 1.2721,             0.00086658,             0.00086658,             0.00086658
                     42,                0.57568,                0.41518,                0.94311,                0.89249,                0.90753,                0.96848,                0.76001,                0.84048,                 0.5626,                 1.3051,             0.00086047,             0.00086047,             0.00086047
                     43,                0.60462,                0.38093,                 1.0063,                0.95503,                0.93885,                0.98101,                0.76949,                0.83195,                0.48491,                 1.2924,             0.00085436,             0.00085436,             0.00085436
                     44,                0.62472,                0.42252,                 1.0289,                0.91284,                0.95757,                0.97481,                 0.7701,                0.79136,                 0.4743,                 1.2889,             0.00084825,             0.00084825,             0.00084825
                     45,                0.66431,                0.41922,                  1.052,                0.96941,                0.99875,                  0.995,                0.78624,                0.82092,                0.41528,                   1.28,             0.00084214,             0.00084214,             0.00084214
                     46,                0.59657,                0.41477,                 1.0083,                0.94743,                0.88958,                0.97588,                0.78013,                0.80873,                0.50659,                 1.2876,             0.00083603,             0.00083603,             0.00083603
                     47,                0.59711,                0.42279,                 1.0093,                0.95544,                 0.9211,                0.97616,                0.78534,                0.84005,                0.48712,                 1.3233,             0.00082992,             0.00082992,             0.00082992
                     48,                0.58736,                0.38355,                 1.0107,                0.95786,                0.96954,                0.99407,                 0.7936,                0.85527,                0.46215,                 1.3367,             0.00082381,             0.00082381,             0.00082381
                     49,                0.59598,                0.38612,                0.98461,                0.94059,                0.98301,                0.99253,                0.78482,                0.81219,                0.42977,                 1.3102,              0.0008177,              0.0008177,              0.0008177
                     50,                0.58724,                0.37749,                 1.0215,                0.95148,                 0.9213,                0.99132,                0.80123,                0.75889,                0.43037,                 1.2539,             0.00081159,             0.00081159,             0.00081159
                     51,                0.61278,                0.41026,                 1.0434,                0.96696,                0.89813,                0.98493,                0.79413,                0.78633,                0.47977,                 1.2499,             0.00080547,             0.00080547,             0.00080547
                     52,                0.59383,                0.38728,                0.99255,                0.92282,                0.89889,                0.97049,                 0.7893,                0.79134,                0.57558,                 1.2436,             0.00079936,             0.00079936,             0.00079936
                     53,                0.60063,                 0.4004,                 1.0258,                0.83731,                0.91542,                0.95345,                0.76688,                0.78852,                0.53572,                 1.2402,             0.00079325,             0.00079325,             0.00079325
                     54,                0.61107,                0.40851,                 1.0317,                0.88749,                 0.8404,                0.92053,                0.74556,                0.80247,                0.66962,                 1.2877,             0.00078714,             0.00078714,             0.00078714
                     55,                0.53128,                0.35635,                0.99223,                0.90872,                0.94739,                0.99073,                0.80094,                0.75291,                0.44017,                 1.2392,             0.00078103,             0.00078103,             0.00078103
                     56,                0.60105,                0.40736,                 1.0591,                0.95971,                0.96591,                0.99167,                 0.8001,                0.82826,                0.41446,                 1.2932,             0.00077492,             0.00077492,             0.00077492
                     57,                0.57716,                0.40268,                0.98721,                0.96971,                0.98182,                 0.9935,                0.79256,                0.79761,                0.41669,                 1.2804,             0.00076881,             0.00076881,             0.00076881
                     58,                0.59934,                0.38952,                0.99723,                0.91837,                 0.9047,                0.98398,                0.78774,                0.79132,                0.48779,                 1.2453,              0.0007627,              0.0007627,              0.0007627
                     59,                0.53846,                0.35906,                0.99638,                0.96129,                0.95019,                0.99143,                0.79804,                0.79424,                0.42276,                 1.2507,             0.00075659,             0.00075659,             0.00075659
                     60,                0.57574,                0.37393,                      1,                0.92402,                0.93164,                0.97226,                0.78141,                0.82546,                0.48079,                 1.3032,             0.00075048,             0.00075048,             0.00075048
                     61,                0.59157,                0.39236,                0.99701,                0.93345,                0.90509,                0.97204,                0.77641,                0.80968,                0.48539,                 1.2884,             0.00074437,             0.00074437,             0.00074437
                     62,                0.57001,                0.36368,                0.99854,                0.91565,                0.94776,                0.97375,                0.78136,                0.81231,                0.43279,                   1.29,             0.00073826,             0.00073826,             0.00073826
                     63,                0.57052,                0.38024,                 1.0064,                0.96392,                0.96409,                0.97998,                0.77194,                0.85987,                0.47174,                 1.3509,             0.00073215,             0.00073215,             0.00073215
