                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2613,                0.93874,                 1.7121,                0.80588,                0.88077,                 0.9065,                 0.5791,                 1.1269,                0.86855,                 1.7642,              0.0011885,              0.0011885,              0.0011885
                     36,                 1.2857,                0.93175,                 1.7463,                0.74212,                0.89713,                 0.9143,                0.58943,                 1.1529,                 1.0146,                 1.7912,              0.0011814,              0.0011814,              0.0011814
                     37,                  1.254,                0.94971,                 1.6932,                0.82488,                0.91126,                0.91858,                0.61377,                 1.1403,                0.85244,                 1.7699,              0.0011744,              0.0011744,              0.0011744
                     38,                 1.2186,                0.89147,                 1.6702,                0.83092,                0.93034,                0.90876,                0.60243,                 1.1569,                0.89853,                 1.7905,              0.0011673,              0.0011673,              0.0011673
                     39,                  1.207,                0.92019,                  1.685,                0.81588,                 0.9178,                 0.9112,                0.59413,                  1.101,                0.84258,                 1.7278,              0.0011602,              0.0011602,              0.0011602
                     40,                 1.2261,                0.91299,                 1.7074,                 0.8145,                0.88655,                0.91509,                 0.6114,                 1.1217,                0.82762,                  1.745,              0.0011531,              0.0011531,              0.0011531
                     41,                  1.176,                0.89767,                 1.6489,                0.79961,                0.90491,                0.91861,                0.60332,                 1.0802,                0.82701,                 1.7019,              0.0011461,              0.0011461,              0.0011461
                     42,                 1.1895,                0.90744,                 1.6406,                0.85428,                0.90101,                0.92094,                 0.6097,                 1.0569,                0.81392,                 1.6648,               0.001139,               0.001139,               0.001139
                     43,                 1.1669,                 0.8642,                 1.6288,                0.85167,                0.90128,                0.92365,                0.59588,                 1.1321,                0.83622,                 1.7658,              0.0011319,              0.0011319,              0.0011319
                     44,                 1.1865,                0.87965,                 1.6401,                0.83587,                 0.9085,                0.91111,                0.56004,                 1.2104,                 0.8481,                 1.8325,              0.0011248,              0.0011248,              0.0011248
                     45,                 1.2084,                0.86599,                 1.6492,                0.85057,                0.93456,                0.93107,                0.63802,                 1.0836,                0.79593,                 1.7064,              0.0011178,              0.0011178,              0.0011178
                     46,                  1.154,                0.86298,                 1.6277,                0.83427,                0.93627,                0.92402,                  0.639,                 1.0817,                0.78152,                 1.7031,              0.0011107,              0.0011107,              0.0011107
                     47,                 1.1724,                0.85511,                 1.6226,                0.82671,                0.93918,                 0.9233,                0.60972,                 1.1072,                 0.8016,                 1.7234,              0.0011036,              0.0011036,              0.0011036
                     48,                 1.1865,                0.86472,                 1.6588,                0.84921,                0.91962,                0.91945,                0.62825,                 1.0646,                0.77944,                 1.6879,              0.0010965,              0.0010965,              0.0010965
                     49,                 1.1707,                0.86409,                 1.6324,                0.83634,                0.91845,                0.92325,                0.63133,                 1.1024,                0.79062,                 1.7165,              0.0010895,              0.0010895,              0.0010895
                     50,                 1.1663,                0.86177,                 1.6357,                0.82528,                0.93486,                0.92228,                0.62773,                 1.1009,                0.84835,                  1.722,              0.0010824,              0.0010824,              0.0010824
                     51,                 1.1442,                0.84852,                 1.6024,                0.85155,                0.89392,                0.91648,                0.59806,                 1.0957,                0.84356,                 1.7096,              0.0010753,              0.0010753,              0.0010753
                     52,                 1.1344,                0.84758,                 1.6214,                0.85288,                0.89788,                0.91293,                0.60317,                  1.078,                0.76803,                 1.6877,              0.0010682,              0.0010682,              0.0010682
                     53,                  1.149,                0.84705,                 1.6196,                0.83092,                 0.9299,                0.92648,                0.63763,                 1.0704,                0.80149,                 1.6979,              0.0010612,              0.0010612,              0.0010612
                     54,                 1.1481,                0.84097,                 1.6287,                0.84151,                0.92218,                 0.9234,                0.62722,                 1.0479,                0.78042,                 1.6628,              0.0010541,              0.0010541,              0.0010541
                     55,                 1.1326,                0.84767,                 1.5966,                0.84877,                0.90011,                0.92108,                0.62006,                 1.0711,                 0.7754,                 1.6833,               0.001047,               0.001047,               0.001047
                     56,                   1.18,                0.89142,                 1.6687,                0.81757,                0.92706,                0.92745,                 0.6135,                 1.0767,                0.79791,                 1.7001,                0.00104,                0.00104,                0.00104
                     57,                 1.1267,                0.82936,                 1.5869,                0.86188,                0.91793,                0.92239,                0.62942,                 1.1662,                0.77016,                 1.7859,              0.0010329,              0.0010329,              0.0010329
                     58,                 1.1261,                0.82686,                 1.6115,                0.84313,                 0.9446,                0.92961,                0.65356,                 1.0644,                0.75531,                 1.6658,              0.0010258,              0.0010258,              0.0010258
                     59,                 1.1273,                0.83658,                 1.5772,                0.84287,                0.90976,                0.92287,                 0.6012,                 1.1307,                0.78863,                 1.7422,              0.0010187,              0.0010187,              0.0010187
                     60,                 1.1114,                0.82519,                  1.596,                0.83057,                0.92444,                0.91706,                0.61475,                 1.1483,                  0.773,                 1.7463,              0.0010117,              0.0010117,              0.0010117
                     61,                   1.13,                0.81091,                 1.5882,                0.81647,                0.94377,                 0.9198,                0.62836,                  1.126,                0.76808,                 1.7322,              0.0010046,              0.0010046,              0.0010046
                     62,                 1.1443,                0.83505,                 1.5877,                0.85273,                0.89645,                0.92621,                0.64284,                 1.0706,                0.84175,                 1.6673,             0.00099751,             0.00099751,             0.00099751
                     63,                 1.1041,                0.81947,                 1.5731,                0.83493,                0.91593,                 0.9296,                 0.6496,                 1.0504,                0.77247,                 1.6584,             0.00099044,             0.00099044,             0.00099044
                     64,                 1.1087,                0.81834,                 1.5657,                0.84097,                 0.9339,                0.93089,                 0.6471,                 1.0422,                0.75158,                 1.6534,             0.00098337,             0.00098337,             0.00098337
                     65,                 1.1009,                0.81933,                 1.5856,                0.86132,                0.90085,                0.92608,                0.63506,                 1.0643,                0.74617,                 1.6594,             0.00097629,             0.00097629,             0.00097629
                     66,                 1.1002,                0.80867,                 1.5619,                0.84145,                 0.9298,                0.92706,                 0.6388,                 1.0572,                0.72047,                 1.6678,             0.00096922,             0.00096922,             0.00096922
                     67,                 1.1075,                0.80717,                 1.5851,                0.83029,                0.92887,                0.92793,                0.60437,                 1.0893,                0.74865,                 1.7179,             0.00096215,             0.00096215,             0.00096215
                     68,                 1.1218,                0.80295,                  1.587,                 0.8411,                0.92615,                0.92971,                0.64313,                   1.13,                 0.7718,                 1.7357,             0.00095507,             0.00095507,             0.00095507
                     69,                 1.0961,                0.80532,                 1.5716,                0.84614,                0.93779,                0.92767,                0.64407,                 1.0713,                0.72689,                 1.6781,               0.000948,               0.000948,               0.000948
                     70,                 1.1084,                 0.7957,                  1.564,                0.84062,                0.93647,                0.93373,                0.62653,                 1.0469,                0.72482,                  1.652,             0.00094093,             0.00094093,             0.00094093
                     71,                 1.1002,                0.77752,                  1.561,                0.82709,                0.92117,                0.92933,                 0.6455,                 1.0582,                0.75441,                 1.6632,             0.00093385,             0.00093385,             0.00093385
                     72,                 1.0788,                0.81896,                 1.5365,                0.80724,                0.92961,                0.93091,                0.64251,                 1.0536,                0.73897,                 1.6627,             0.00092678,             0.00092678,             0.00092678
                     73,                 1.0899,                0.78706,                 1.5485,                0.85705,                0.92278,                0.92982,                0.64749,                  1.038,                0.72029,                 1.6569,              0.0009197,              0.0009197,              0.0009197
                     74,                  1.073,                0.76598,                 1.5414,                0.85519,                0.93036,                0.92688,                 0.6402,                 1.0606,                0.72033,                 1.6701,             0.00091263,             0.00091263,             0.00091263
                     75,                 1.0982,                0.79396,                 1.5674,                 0.8437,                0.93651,                 0.9342,                0.65498,                 1.0366,                0.72932,                 1.6405,             0.00090556,             0.00090556,             0.00090556
                     76,                 1.0904,                0.78331,                 1.5376,                 0.8611,                0.90146,                0.92385,                0.64017,                 1.0603,                0.73122,                  1.658,             0.00089848,             0.00089848,             0.00089848
